Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
3d printed case,for holding the pcb,1,? 300.00,,Printing Legion
Hackpad Kit,FOR GETTING THE COMPONENTS,1,? 0.00,,Hack Club
PCB,,1,"? 1,200.00",,Lion Circuits
,,,"? 1,500.00",,
